published_date,year,language,title,content_status,content_type,primary_category,all_categories,word_count,excerpt,url
2019-01-09,2019,Dutch,(Ελληνικά) Μαθήματα Ολλανδικών στο Ελληνικό Σπίτι στο Ρότερνταμ,placeholder_only,Course / class,Δραστηριότητες του Ελληνικού Σπιτιού στο Ρότερνταμ,Δραστηριότητες του Ελληνικού Σπιτιού στο Ρότερνταμ; Μαθήματα Ολλανδικών,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2019/01/09/%ce%bc%ce%b1%ce%b8%ce%ae%ce%bc%ce%b1%cf%84%ce%b1-%ce%bf%ce%bb%ce%bb%ce%b1%ce%bd%ce%b4%ce%b9%ce%ba%cf%8e%ce%bd-%cf%83%cf%84%ce%bf-%ce%b5%ce%bb%ce%bb%ce%b7%ce%bd%ce%b9%ce%ba%cf%8c-%cf%83%cf%80%ce%af/
2019-01-23,2019,Dutch,(Ελληνικά) Κοπή Βασιλόπιτας 2019,placeholder_only,Festive event,Εορταστικές εκδηλώσεις,Εορταστικές εκδηλώσεις,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2019/01/23/%ce%ba%ce%bf%cf%80%ce%ae-%ce%b2%ce%b1%cf%83%ce%b9%ce%bb%cf%8c%cf%80%ce%b9%cf%84%ce%b1%cf%82-2019/
2019-01-29,2019,Dutch,(Ελληνικά) Η πρώτη παρουσίαση της Χορωδίας του Ελληνικού Σπιτιού στο Ρότερνταμ,placeholder_only,Cultural program activity,Δραστηριότητες του Ελληνικού Σπιτιού στο Ρότερνταμ,Δραστηριότητες του Ελληνικού Σπιτιού στο Ρότερνταμ; Εορταστικές εκδηλώσεις; Η Χορωδία του Ελληνικού Σπιτιού στο Ρότερνταμ,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2019/01/29/%ce%b7-%cf%80%cf%81%cf%8e%cf%84%ce%b7-%cf%80%ce%b1%cf%81%ce%bf%cf%85%cf%83%ce%af%ce%b1%cf%83%ce%b7-%cf%84%ce%b7%cf%82-%cf%87%ce%bf%cf%81%cf%89%ce%b4%ce%af%ce%b1%cf%82-%cf%84%ce%bf%cf%85-%ce%b5%ce%bb/
2019-01-29,2019,Greek,Η πρώτη παρουσίαση της Χορωδίας του Ελληνικού Σπιτιού στο Ρότερνταμ,full_text,Cultural program activity,Δραστηριότητες του Ελληνικού Σπιτιού στο Ρότερνταμ,Δραστηριότητες του Ελληνικού Σπιτιού στο Ρότερνταμ; Εορταστικές εκδηλώσεις; Η Χορωδία του Ελληνικού Σπιτιού στο Ρότερνταμ,222,"Την προηγούμενη Κυριακή 27 Ιανουαρίου 2019 είχαμε την εκδήλωση της κοπής της βασιλόπιτας για το 2019 στο Ελληνικό Σπίτι. Στην εκδήλωση παρευρέθηκαν τόσο τα σταθερά, μακροχρόνια μέλη του Συλλόγου της Ένωσης όσο και νεότεροι φίλοι που ήρθαν μ’ ενθουσιασμό να γιορτάσουν μαζί μας και να μας ...",https://vvgn.eu/el/2019/01/29/%CE%B7-%CF%80%CF%81%CF%8E%CF%84%CE%B7-%CF%80%CE%B1%CF%81%CE%BF%CF%85%CF%83%CE%AF%CE%B1%CF%83%CE%B7-%CF%84%CE%B7%CF%82-%CF%87%CE%BF%CF%81%CF%89%CE%B4%CE%AF%CE%B1%CF%82-%CF%84%CE%BF%CF%85-%CE%B5%CE%BB/
2019-01-31,2019,Dutch,(Ελληνικά) Παρασκευή 1η Φλεβάρη 2019: Βραδιά Δραστηριοτήτων & Βραδιά με Επιτραπέζια,placeholder_only,Community update,Βραδιές με Επιτραπέζια,Βραδιές με Επιτραπέζια; Δραστηριότητες του Ελληνικού Σπιτιού στο Ρότερνταμ,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2019/01/31/%cf%80%ce%b1%cf%81%ce%b1%cf%83%ce%ba%ce%b5%cf%85%ce%ae-1%ce%b7-%cf%86%ce%bb%ce%b5%ce%b2%ce%ac%cf%81%ce%b7-%ce%b2%cf%81%ce%b1%ce%b4%ce%b9%ce%ac-%ce%b4%cf%81%ce%b1%cf%83%cf%84%ce%b7%cf%81%ce%b9%ce%bf/
2019-03-13,2019,Dutch,(Ελληνικά) 1ο Παραδοσιακό Γλέντι στο Ρότερνταμ – Ευχαριστήριο μήνυμα στους χορηγούς μας,placeholder_only,Festive event,Εορταστικές εκδηλώσεις,Εορταστικές εκδηλώσεις,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2019/03/13/1%ce%bf-%cf%80%ce%b1%cf%81%ce%b1%ce%b4%ce%bf%cf%83%ce%b9%ce%b1%ce%ba%cf%8c-%ce%b3%ce%bb%ce%ad%ce%bd%cf%84%ce%b9-%cf%83%cf%84%ce%bf-%cf%81%cf%8c%cf%84%ce%b5%cf%81%ce%bd%cf%84%ce%b1%ce%bc-%ce%b5%cf%85/
2019-03-22,2019,Dutch,(Ελληνικά) Q&A: όλα όσα πρέπει να ξέρετε πριν το 1ο Παραδοσιακό Γλέντι στο Ρότερνταμ!,placeholder_only,Festive event,Εορταστικές εκδηλώσεις,Εορταστικές εκδηλώσεις,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2019/03/22/qa-%cf%8c%ce%bb%ce%b1-%cf%8c%cf%83%ce%b1-%cf%80%cf%81%ce%ad%cf%80%ce%b5%ce%b9-%ce%bd%ce%b1-%ce%be%ce%ad%cf%81%ce%b5%cf%84%ce%b5-%cf%80%cf%81%ce%b9%ce%bd-%cf%84%ce%bf-1%ce%bf-%cf%80%ce%b1%cf%81%ce%b1/
2019-03-25,2019,Dutch,(Ελληνικά) Ένα μεγάλο ευχαριστώ σε όλους για το 1ο Παραδοσιακό Γλέντι στο Ρότερνταμ,placeholder_only,Festive event,Εορταστικές εκδηλώσεις,Εορταστικές εκδηλώσεις,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2019/03/25/%ce%ad%ce%bd%ce%b1-%ce%bc%ce%b5%ce%b3%ce%ac%ce%bb%ce%bf-%ce%b5%cf%85%cf%87%ce%b1%cf%81%ce%b9%cf%83%cf%84%cf%8e-%cf%83%ce%b5-%cf%8c%ce%bb%ce%bf%cf%85%cf%82-%ce%b3%ce%b9%ce%b1-%cf%84%ce%bf-1%ce%bf/
2019-03-26,2019,Dutch,(Ελληνικά) Οι τυχεροί της λαχειοφόρου αγοράς του 1ου Παραδοσιακού Γλεντιού στο Ρότερνταμ,placeholder_only,Festive event,Εορταστικές εκδηλώσεις,Εορταστικές εκδηλώσεις,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2019/03/26/%ce%b7-%ce%ba%ce%bb%ce%ae%cf%81%cf%89%cf%83%ce%b7-%cf%84%ce%b7%cf%82-%ce%bb%ce%b1%cf%87%ce%b5%ce%b9%ce%bf%cf%86%cf%8c%cf%81%ce%bf%cf%85-%ce%b1%ce%b3%ce%bf%cf%81%ce%ac%cf%82-%cf%84%ce%bf%cf%85-1%ce%bf/
2019-04-06,2019,Dutch,(Ελληνικά) Δανειστική Βιβλιοθήκη,placeholder_only,Community update,Uncategorized,,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2019/04/06/%ce%b4%ce%b1%ce%bd%ce%b5%ce%b9%cf%83%cf%84%ce%b9%ce%ba%ce%ae-%ce%b2%ce%b9%ce%b2%ce%bb%ce%b9%ce%bf%ce%b8%ce%ae%ce%ba%ce%b7/
2019-04-06,2019,Greek,Δανειστική Βιβλιοθήκη,full_text,Community update,Δανειστική Βιβλιοθήκη,Δανειστική Βιβλιοθήκη,400,"Το Ελληνικό Σπίτι στο Ρότερνταμ προσφέρει στα μέλη της Ένωσης την ευκαιρία να δανειστούν ελληνικά βιβλία μέσα από τη βιβλιοθήκη του η οποία αριθμεί περίπου 2.000 μοναδικές εκδόσεις. Η Δανειστική Βιβλιοθήκη λειτουργεί κάθε Παρασκευή βράδυ 19:30 – 20:30 και κάθε Κυριακή 12.00-14.00 . Ωστόσο, συνιστάται στους ...",https://vvgn.eu/el/2019/04/06/%ce%b4%ce%b1%ce%bd%ce%b5%ce%b9%cf%83%cf%84%ce%b9%ce%ba%ce%ae-%ce%b2%ce%b9%ce%b2%ce%bb%ce%b9%ce%bf%ce%b8%ce%ae%ce%ba%ce%b7/
2019-04-14,2019,Dutch,(Ελληνικά) Γενική Συνέλευση & Εκλογές Διοικητικού Συμβουλίου Ε.Ε.Ο. 14.04.2019,placeholder_only,General announcement,Γενικές Ανακοινώσεις για την Ένωση Ελλήνων Ολλανδίας,Γενικές Ανακοινώσεις για την Ένωση Ελλήνων Ολλανδίας,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2019/04/14/%ce%b3%ce%b5%ce%bd%ce%b9%ce%ba%ce%ae-%cf%83%cf%85%ce%bd%ce%ad%ce%bb%ce%b5%cf%85%cf%83%ce%b7-%ce%b5%ce%ba%ce%bb%ce%bf%ce%b3%ce%ad%cf%82-%ce%b4%ce%b9%ce%bf%ce%b9%ce%ba%ce%b7%cf%84%ce%b9%ce%ba%ce%bf/
2019-05-21,2019,Dutch,(Ελληνικά) Παρασκευή 24 Μαΐου 2019: Βραδιά Δραστηριοτήτων & Βραδιά με Επιτραπέζια,placeholder_only,Community update,Βραδιές με Επιτραπέζια,Βραδιές με Επιτραπέζια,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2019/05/21/%cf%80%ce%b1%cf%81%ce%b1%cf%83%ce%ba%ce%b5%cf%85%ce%ae-24-%ce%bc%ce%b1%ce%90%ce%bf%cf%85-2019-%ce%b2%cf%81%ce%b1%ce%b4%ce%b9%ce%ac-%ce%b4%cf%81%ce%b1%cf%83%cf%84%ce%b7%cf%81%ce%b9%ce%bf%cf%84%ce%ae/
2019-05-22,2019,Dutch,(Ελληνικά) Δευτέρα 27 Μαΐου 2019: Μουσική Παράσταση: “Εφτά τραγούδια θα σου πω”,placeholder_only,Cultural program activity,Η Χορωδία του Ελληνικού Σπιτιού στο Ρότερνταμ,Η Χορωδία του Ελληνικού Σπιτιού στο Ρότερνταμ,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2019/05/22/%ce%b4%ce%b5%cf%85%cf%84%ce%ad%cf%81%ce%b1-27-%ce%bc%ce%b1%ce%90%ce%bf%cf%85-2019-%ce%bc%ce%bf%cf%85%cf%83%ce%b9%ce%ba%ce%ae-%cf%80%ce%b1%cf%81%ce%ac%cf%83%cf%84%ce%b1%cf%83%ce%b7-%ce%b5%cf%86/
2019-05-22,2019,Greek,Δευτέρα 27 Μαΐου 2019: Μουσική Παράσταση: “Εφτά τραγούδια θα σου πω”,full_text,Cultural program activity,Η Χορωδία του Ελληνικού Σπιτιού στο Ρότερνταμ,Η Χορωδία του Ελληνικού Σπιτιού στο Ρότερνταμ,138,"Η Χορωδία του Ελληνικού Σπιτιού στο Ρότερνταμ σας προσκαλεί τη Δευτέρα 27 Μαΐου στην επίσημη τελική παράσταση της διδακτικής χρονιάς 2018-19. Η παράσταση μας με τίτλο “Εφτά τραγούδια θα σου πω” φτιάχτηκε κομμάτι-κομμάτι καθ’ όλη τη διάρκεια της χρονιάς μέσα από μελέτη τραγουδιών νότα-νότα, πολλές πρόβες, ...",https://vvgn.eu/el/2019/05/22/%CE%B4%CE%B5%CF%85%CF%84%CE%AD%CF%81%CE%B1-27-%CE%BC%CE%B1%CE%90%CE%BF%CF%85-2019-%CE%BC%CE%BF%CF%85%CF%83%CE%B9%CE%BA%CE%AE-%CF%80%CE%B1%CF%81%CE%AC%CF%83%CF%84%CE%B1%CF%83%CE%B7-%CE%B5%CF%86/
2019-06-04,2019,Dutch,(Ελληνικά) 7 Ιούνη 2019: Βραδιά Δραστηριοτήτων & Βραδιά Σινεμά,placeholder_only,Cultural program activity,Βραδιές Σινεμά,Βραδιές Σινεμά,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2019/06/04/7-%ce%b9%ce%bf%cf%8d%ce%bd%ce%b7-2019-%ce%b2%cf%81%ce%b1%ce%b4%ce%b9%ce%ac-%ce%b4%cf%81%ce%b1%cf%83%cf%84%ce%b7%cf%81%ce%b9%ce%bf%cf%84%ce%ae%cf%84%cf%89%ce%bd-%ce%b2%cf%81%ce%b1%ce%b4%ce%b9%ce%ac/
2019-06-08,2019,Dutch,(Ελληνικά) “Εφτά τραγούδια θα σου πω”: Η μουσική παράσταση της Χορωδίας του Ελληνικού Σπιτιού στο Ρότερνταμ,placeholder_only,Cultural program activity,Η Χορωδία του Ελληνικού Σπιτιού στο Ρότερνταμ,Η Χορωδία του Ελληνικού Σπιτιού στο Ρότερνταμ,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2019/06/08/%ce%b5%cf%86%cf%84%ce%ac-%cf%84%cf%81%ce%b1%ce%b3%ce%bf%cf%8d%ce%b4%ce%b9%ce%b1-%ce%b8%ce%b1-%cf%83%ce%bf%cf%85-%cf%80%cf%89-%ce%b7-%ce%bc%ce%bf%cf%85%cf%83%ce%b9%ce%ba%ce%ae-%cf%80%ce%b1%cf%81/
2019-06-08,2019,Greek,“Εφτά τραγούδια θα σου πω”: Η μουσική παράσταση της Χορωδίας του Ελληνικού Σπιτιού στο Ρότερνταμ,full_text,Cultural program activity,Η Χορωδία του Ελληνικού Σπιτιού στο Ρότερνταμ,Η Χορωδία του Ελληνικού Σπιτιού στο Ρότερνταμ,361,"Τη Δευτέρα 27 Μαΐου 2019, λίγο μετά τις 19:30, το ισόγειο της Ένωσης Ελλήνων Ολλανδίας άνοιξε τις πόρτες του για να υποδεχθεί μέλη και φίλους/ες που ήρθαν να παρακολουθήσουν την μουσική παράσταση “Εφτά τραγούδια θα σου πω” της Χορωδίας του Ελληνικού Σπιτιού στο Ρότερνταμ, η οποία ...",https://vvgn.eu/el/2019/06/08/%CE%B5%CF%86%CF%84%CE%AC-%CF%84%CF%81%CE%B1%CE%B3%CE%BF%CF%8D%CE%B4%CE%B9%CE%B1-%CE%B8%CE%B1-%CF%83%CE%BF%CF%85-%CF%80%CF%89-%CE%B7-%CE%BC%CE%BF%CF%85%CF%83%CE%B9%CE%BA%CE%AE-%CF%80%CE%B1%CF%81/
2019-06-20,2019,Dutch,(Ελληνικά) Παρασκευή 21 Ιουνίου 2019: Βραδιά Δραστηριοτήτων & Βραδιά με Επιτραπέζια,placeholder_only,Community update,Βραδιές με Επιτραπέζια,Βραδιές με Επιτραπέζια,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2019/06/20/%cf%80%ce%b1%cf%81%ce%b1%cf%83%ce%ba%ce%b5%cf%85%ce%ae-21-%ce%b9%ce%bf%cf%85%ce%bd%ce%af%ce%bf%cf%85-2019-%ce%b2%cf%81%ce%b1%ce%b4%ce%b9%ce%ac-%ce%b4%cf%81%ce%b1%cf%83%cf%84%ce%b7%cf%81%ce%b9%ce%bf/
2019-09-23,2019,Dutch,(Ελληνικά) 27 Σεπτέμβρη 2019: Έναρξη Δραστηριοτήτων 2019-20 / Βραδιά Σινεμά,placeholder_only,Cultural program activity,Βραδιές Σινεμά,Βραδιές Σινεμά,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2019/09/23/27-%cf%83%ce%b5%cf%80%cf%84%ce%ad%ce%bc%ce%b2%cf%81%ce%b7-2019-%ce%ad%ce%bd%ce%b1%cf%81%ce%be%ce%b7-%ce%b4%cf%81%ce%b1%cf%83%cf%84%ce%b7%cf%81%ce%b9%ce%bf%cf%84%ce%ae%cf%84%cf%89%ce%bd-2019-20-2/
2019-09-23,2019,Dutch,(Ελληνικά) 27/09/2019: Έναρξη των “Μουσικών Παραμυθιών” της Τέτης Κασιώνη,placeholder_only,Community update,Μουσικά παραμύθια για παιδιά,Μουσικά παραμύθια για παιδιά,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2019/09/23/27-09-2019-%ce%ad%ce%bd%ce%b1%cf%81%ce%be%ce%b7-%cf%84%cf%89%ce%bd-%ce%bc%ce%bf%cf%85%cf%83%ce%b9%ce%ba%cf%8e%ce%bd-%cf%80%ce%b1%cf%81%ce%b1%ce%bc%cf%85%ce%b8%ce%b9%cf%8e%ce%bd-%cf%84%ce%b7%cf%82/
2019-09-23,2019,Dutch,(Ελληνικά) Έναρξη Εκμάθησης των Ολλανδικών για το έτος 2019-2020 στο Ελληνικό Σπίτι στο Ρότερνταμ,placeholder_only,Course / class,Μαθήματα Ολλανδικών,Μαθήματα Ολλανδικών,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2019/09/23/%ce%ad%ce%bd%ce%b1%cf%81%ce%be%ce%b7-%ce%b5%ce%ba%ce%bc%ce%ac%ce%b8%ce%b7%cf%83%ce%b7%cf%82-%cf%84%cf%89%ce%bd-%ce%bf%ce%bb%ce%bb%ce%b1%ce%bd%ce%b4%ce%b9%ce%ba%cf%8e%ce%bd-%ce%b3%ce%b9%ce%b1-%cf%84/
2019-09-29,2019,Dutch,(Ελληνικά) 25 Οκτώβρη 2019: Πρώτο Book Club / Έναρξη Λέσχης Ανάγνωσης,placeholder_only,Cultural program activity,Book Club / Λέσχη Ανάγνωσης,Book Club / Λέσχη Ανάγνωσης,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2019/09/29/english-25-%ce%bf%ce%ba%cf%84%cf%8e%ce%b2%cf%81%ce%b7-2019-%cf%80%cf%81%cf%8e%cf%84%ce%bf-book-club-%ce%ad%ce%bd%ce%b1%cf%81%ce%be%ce%b7-%ce%bb%ce%ad%cf%83%cf%87%ce%b7%cf%82-%ce%b1%ce%bd%ce%ac/
2019-09-29,2019,Greek,25 Οκτώβρη 2019: Πρώτο Book Club / Έναρξη Λέσχης Ανάγνωσης,full_text,Cultural program activity,Book Club / Λέσχη Ανάγνωσης,Book Club / Λέσχη Ανάγνωσης; Δανειστική Βιβλιοθήκη,183,Είσαι βιβλιοφάγος; Σ’ αρέσει να μιλάς για τα βιβλία που διάβασες και σ’ ενθουσίασαν; Θέλεις να προτείνεις βιβλία σε άλλους ή να δέχεσαι προτάσεις για βιβλία που μέχρι τώρα δε γνώριζες ή δεν είχες διαβάσει; Θέλεις να γνωρίσεις άλλους βιβλιόφιλους και μαζί να γίνετε μια μεγάλη ...,https://vvgn.eu/el/2019/09/29/english-25-%CE%BF%CE%BA%CF%84%CF%8E%CE%B2%CF%81%CE%B7-2019-%CF%80%CF%81%CF%8E%CF%84%CE%BF-book-club-%CE%AD%CE%BD%CE%B1%CF%81%CE%BE%CE%B7-%CE%BB%CE%AD%CF%83%CF%87%CE%B7%CF%82-%CE%B1%CE%BD%CE%AC/
2019-10-02,2019,Dutch,(Ελληνικά) 4 Οκτώβρη 2019: Δεύτερη Συνάντηση για τα Μουσικά Παραμύθια,placeholder_only,Community update,Μουσικά παραμύθια για παιδιά,Μουσικά παραμύθια για παιδιά,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2019/10/02/english-4-%ce%bf%ce%ba%cf%84%cf%8e%ce%b2%cf%81%ce%b7-2019-%ce%b4%ce%b5%cf%8d%cf%84%ce%b5%cf%81%ce%b7-%cf%83%cf%85%ce%bd%ce%ac%ce%bd%cf%84%ce%b7%cf%83%ce%b7-%ce%b3%ce%b9%ce%b1-%cf%84%ce%b1-%ce%bc/
2019-10-16,2019,Dutch,(Ελληνικά) 18 Οκτώβρη 2019: Βραδιά Δραστηριοτήτων & Βραδιά Ντοκιμαντέρ,placeholder_only,Community update,Βραδιές Ντοκιμαντέρ,Βραδιές Ντοκιμαντέρ,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2019/10/16/18-%ce%bf%ce%ba%cf%84%cf%8e%ce%b2%cf%81%ce%b7-2019-%ce%b2%cf%81%ce%b1%ce%b4%ce%b9%ce%ac-%ce%b4%cf%81%ce%b1%cf%83%cf%84%ce%b7%cf%81%ce%b9%ce%bf%cf%84%ce%ae%cf%84%cf%89%ce%bd-%ce%b2%cf%81%ce%b1%ce%b4/
